row,origin,destination,issue,detail
PITX EDSA Carousel Station, Parañaque City,"PITX EDSA Carousel Station, Parañaque City","",geocode_failed,"PITX EDSA Carousel Station, Parañaque City"
59,"Ayala EDSA Carousel Station, Makati City","PITX EDSA Carousel Station, Parañaque City",geocode_failed,"origin or destination place"
McKinley Exchange / EDSA Ayala, Makati City,"McKinley Exchange / EDSA Ayala, Makati City","",geocode_failed,"McKinley Exchange / EDSA Ayala, Makati City"
Market! Market!, Bonifacio Global City, Taguig City,"Market! Market!, Bonifacio Global City, Taguig City","",geocode_failed,"Market! Market!, Bonifacio Global City, Taguig City"
60,"McKinley Exchange / EDSA Ayala, Makati City","Market! Market!, Bonifacio Global City, Taguig City",geocode_failed,"origin or destination place"
McKinley Exchange / EDSA Ayala, Makati City,"McKinley Exchange / EDSA Ayala, Makati City","",geocode_failed,"McKinley Exchange / EDSA Ayala, Makati City"
Uptown Mall / Uptown Parade, Bonifacio Global City, Taguig City,"Uptown Mall / Uptown Parade, Bonifacio Global City, Taguig City","",geocode_failed,"Uptown Mall / Uptown Parade, Bonifacio Global City, Taguig City"
61,"McKinley Exchange / EDSA Ayala, Makati City","Uptown Mall / Uptown Parade, Bonifacio Global City, Taguig City",geocode_failed,"origin or destination place"
Market! Market!, Bonifacio Global City, Taguig City,"Market! Market!, Bonifacio Global City, Taguig City","",geocode_failed,"Market! Market!, Bonifacio Global City, Taguig City"
McKinley Exchange / EDSA Ayala, Makati City,"McKinley Exchange / EDSA Ayala, Makati City","",geocode_failed,"McKinley Exchange / EDSA Ayala, Makati City"
62,"Market! Market!, Bonifacio Global City, Taguig City","McKinley Exchange / EDSA Ayala, Makati City",geocode_failed,"origin or destination place"
Pedro Gil Street / Taft Avenue, Manila City,"Pedro Gil Street / Taft Avenue, Manila City","",geocode_failed,"Pedro Gil Street / Taft Avenue, Manila City"
Quirino Avenue LRT-1 Area, Manila City,"Quirino Avenue LRT-1 Area, Manila City","",geocode_failed,"Quirino Avenue LRT-1 Area, Manila City"
67,"Pedro Gil Street / Taft Avenue, Manila City","Quirino Avenue LRT-1 Area, Manila City",geocode_failed,"origin or destination place"
Vito Cruz / De La Salle University Area, Manila City,"Vito Cruz / De La Salle University Area, Manila City","",geocode_failed,"Vito Cruz / De La Salle University Area, Manila City"
Gil Puyat / Buendia LRT-1 Area, Pasay City,"Gil Puyat / Buendia LRT-1 Area, Pasay City","",geocode_failed,"Gil Puyat / Buendia LRT-1 Area, Pasay City"
68,"Vito Cruz / De La Salle University Area, Manila City","Gil Puyat / Buendia LRT-1 Area, Pasay City",geocode_failed,"origin or destination place"
Guadalupe Nuevo / MRT Guadalupe Area, Makati City,"Guadalupe Nuevo / MRT Guadalupe Area, Makati City","",geocode_failed,"Guadalupe Nuevo / MRT Guadalupe Area, Makati City"
Kalayaan Avenue / BGC Gate Area, Taguig City,"Kalayaan Avenue / BGC Gate Area, Taguig City","",geocode_failed,"Kalayaan Avenue / BGC Gate Area, Taguig City"
